bin/mountpoint	14408	304740117a5a0c15c8ea43b7291479207b357b9fc08cc47a5e4a357f5e9a1768	/bin/sh -c #(nop) ADD file:7d9bbf45a5b2510d44d3206a028cf6502757884d49e46d3d2e6356c3a92c4309 in / 
bin/mv	137440	304740117a5a0c15c8ea43b7291479207b357b9fc08cc47a5e4a357f5e9a1768	/bin/sh -c #(nop) ADD file:7d9bbf45a5b2510d44d3206a028cf6502757884d49e46d3d2e6356c3a92c4309 in / 
bin/nisdomainname	0	304740117a5a0c15c8ea43b7291479207b357b9fc08cc47a5e4a357f5e9a1768	/bin/sh -c #(nop) ADD file:7d9bbf45a5b2510d44d3206a028cf6502757884d49e46d3d2e6356c3a92c4309 in / 
bin/pidof	0	304740117a5a0c15c8ea43b7291479207b357b9fc08cc47a5e4a357f5e9a1768	/bin/sh -c #(nop) ADD file:7d9bbf45a5b2510d44d3206a028cf6502757884d49e46d3d2e6356c3a92c4309 in / 
bin/ps	133432	304740117a5a0c15c8ea43b7291479207b357b9fc08cc47a5e4a357f5e9a1768	/bin/sh -c #(nop) ADD file:7d9bbf45a5b2510d44d3206a028cf6502757884d49e46d3d2e6356c3a92c4309 in / 
bin/pwd	35000	304740117a5a0c15c8ea43b7291479207b357b9fc08cc47a5e4a357f5e9a1768	/bin/sh -c #(nop) ADD file:7d9bbf45a5b2510d44d3206a028cf6502757884d49e46d3d2e6356c3a92c4309 in / 
bin/rbash	0	304740117a5a0c15c8ea43b7291479207b357b9fc08cc47a5e4a357f5e9a1768	/bin/sh -c #(nop) ADD file:7d9bbf45a5b2510d44d3206a028cf6502757884d49e46d3d2e6356c3a92c4309 in / 
bin/readlink	43192	304740117a5a0c15c8ea43b7291479207b357b9fc08cc47a5e4a357f5e9a1768	/bin/sh -c #(nop) ADD file:7d9bbf45a5b2510d44d3206a028cf6502757884d49e46d3d2e6356c3a92c4309 in / 
bin/rm	63704	304740117a5a0c15c8ea43b7291479207b357b9fc08cc47a5e4a357f5e9a1768	/bin/sh -c #(nop) ADD file:7d9bbf45a5b2510d44d3206a028cf6502757884d49e46d3d2e6356c3a92c4309 in / 
bin/rmdir	43192	304740117a5a0c15c8ea43b7291479207b357b9fc08cc47a5e4a357f5e9a1768	/bin/sh -c #(nop) ADD file:7d9bbf45a5b2510d44d3206a028cf6502757884d49e46d3d2e6356c3a92c4309 in / 
bin/run-parts	18760	304740117a5a0c15c8ea43b7291479207b357b9fc08cc47a5e4a357f5e9a1768	/bin/sh -c #(nop) ADD file:7d9bbf45a5b2510d44d3206a028cf6502757884d49e46d3d2e6356c3a92c4309 in / 
bin/sed	109000	304740117a5a0c15c8ea43b7291479207b357b9fc08cc47a5e4a357f5e9a1768	/bin/sh -c #(nop) ADD file:7d9bbf45a5b2510d44d3206a028cf6502757884d49e46d3d2e6356c3a92c4309 in / 
bin/sh	0	304740117a5a0c15c8ea43b7291479207b357b9fc08cc47a5e4a357f5e9a1768	/bin/sh -c #(nop) ADD file:7d9bbf45a5b2510d44d3206a028cf6502757884d49e46d3d2e6356c3a92c4309 in / 
bin/sh.distrib	0	304740117a5a0c15c8ea43b7291479207b357b9fc08cc47a5e4a357f5e9a1768	/bin/sh -c #(nop) ADD file:7d9bbf45a5b2510d44d3206a028cf6502757884d49e46d3d2e6356c3a92c4309 in / 
bin/sleep	35000	304740117a5a0c15c8ea43b7291479207b357b9fc08cc47a5e4a357f5e9a1768	/bin/sh -c #(nop) ADD file:7d9bbf45a5b2510d44d3206a028cf6502757884d49e46d3d2e6356c3a92c4309 in / 
bin/stty	75992	304740117a5a0c15c8ea43b7291479207b357b9fc08cc47a5e4a357f5e9a1768	/bin/sh -c #(nop) ADD file:7d9bbf45a5b2510d44d3206a028cf6502757884d49e46d3d2e6356c3a92c4309 in / 
bin/su	44664	304740117a5a0c15c8ea43b7291479207b357b9fc08cc47a5e4a357f5e9a1768	/bin/sh -c #(nop) ADD file:7d9bbf45a5b2510d44d3206a028cf6502757884d49e46d3d2e6356c3a92c4309 in / 
bin/sync	35000	304740117a5a0c15c8ea43b7291479207b357b9fc08cc47a5e4a357f5e9a1768	/bin/sh -c #(nop) ADD file:7d9bbf45a5b2510d44d3206a028cf6502757884d49e46d3d2e6356c3a92c4309 in / 
bin/tar	423312	304740117a5a0c15c8ea43b7291479207b357b9fc08cc47a5e4a357f5e9a1768	/bin/sh -c #(nop) ADD file:7d9bbf45a5b2510d44d3206a028cf6502757884d49e46d3d2e6356c3a92c4309 in / 
bin/tempfile	10104	304740117a5a0c15c8ea43b7291479207b357b9fc08cc47a5e4a357f5e9a1768	/bin/sh -c #(nop) ADD file:7d9bbf45a5b2510d44d3206a028cf6502757884d49e46d3d2e6356c3a92c4309 in / 
bin/touch	88280	304740117a5a0c15c8ea43b7291479207b357b9fc08cc47a5e4a357f5e9a1768	/bin/sh -c #(nop) ADD file:7d9bbf45a5b2510d44d3206a028cf6502757884d49e46d3d2e6356c3a92c4309 in / 
bin/true	30904	304740117a5a0c15c8ea43b7291479207b357b9fc08cc47a5e4a357f5e9a1768	/bin/sh -c #(nop) ADD file:7d9bbf45a5b2510d44d3206a028cf6502757884d49e46d3d2e6356c3a92c4309 in / 
bin/umount	26696	304740117a5a0c15c8ea43b7291479207b357b9fc08cc47a5e4a357f5e9a1768	/bin/sh -c #(nop) ADD file:7d9bbf45a5b2510d44d3206a028cf6502757884d49e46d3d2e6356c3a92c4309 in / 
bin/uname	35032	304740117a5a0c15c8ea43b7291479207b357b9fc08cc47a5e4a357f5e9a1768	/bin/sh -c #(nop) ADD file:7d9bbf45a5b2510d44d3206a028cf6502757884d49e46d3d2e6356c3a92c4309 in / 
bin/uncompress	0	304740117a5a0c15c8ea43b7291479207b357b9fc08cc47a5e4a357f5e9a1768	/bin/sh -c #(nop) ADD file:7d9bbf45a5b2510d44d3206a028cf6502757884d49e46d3d2e6356c3a92c4309 in / 
bin/vdir	133792	304740117a5a0c15c8ea43b7291479207b357b9fc08cc47a5e4a357f5e9a1768	/bin/sh -c #(nop) ADD file:7d9bbf45a5b2510d44d3206a028cf6502757884d49e46d3d2e6356c3a92c4309 in / 
bin/wdctl	30800	304740117a5a0c15c8ea43b7291479207b357b9fc08cc47a5e4a357f5e9a1768	/bin/sh -c #(nop) ADD file:7d9bbf45a5b2510d44d3206a028cf6502757884d49e46d3d2e6356c3a92c4309 in / 
bin/which	946	304740117a5a0c15c8ea43b7291479207b357b9fc08cc47a5e4a357f5e9a1768	/bin/sh -c #(nop) ADD file:7d9bbf45a5b2510d44d3206a028cf6502757884d49e46d3d2e6356c3a92c4309 in / 
bin/ypdomainname	0	304740117a5a0c15c8ea43b7291479207b357b9fc08cc47a5e4a357f5e9a1768	/bin/sh -c #(nop) ADD file:7d9bbf45a5b2510d44d3206a028cf6502757884d49e46d3d2e6356c3a92c4309 in / 
bin/zcat	1937	304740117a5a0c15c8ea43b7291479207b357b9fc08cc47a5e4a357f5e9a1768	/bin/sh -c #(nop) ADD file:7d9bbf45a5b2510d44d3206a028cf6502757884d49e46d3d2e6356c3a92c4309 in / 
bin/zcmp	1777	304740117a5a0c15c8ea43b7291479207b357b9fc08cc47a5e4a357f5e9a1768	/bin/sh -c #(nop) ADD file:7d9bbf45a5b2510d44d3206a028cf6502757884d49e46d3d2e6356c3a92c4309 in / 
bin/zdiff	5764	304740117a5a0c15c8ea43b7291479207b357b9fc08cc47a5e4a357f5e9a1768	/bin/sh -c #(nop) ADD file:7d9bbf45a5b2510d44d3206a028cf6502757884d49e46d3d2e6356c3a92c4309 in / 
bin/zegrep	140	304740117a5a0c15c8ea43b7291479207b357b9fc08cc47a5e4a357f5e9a1768	/bin/sh -c #(nop) ADD file:7d9bbf45a5b2510d44d3206a028cf6502757884d49e46d3d2e6356c3a92c4309 in / 
bin/zfgrep	140	304740117a5a0c15c8ea43b7291479207b357b9fc08cc47a5e4a357f5e9a1768	/bin/sh -c #(nop) ADD file:7d9bbf45a5b2510d44d3206a028cf6502757884d49e46d3d2e6356c3a92c4309 in / 
bin/zforce	2131	304740117a5a0c15c8ea43b7291479207b357b9fc08cc47a5e4a357f5e9a1768	/bin/sh -c #(nop) ADD file:7d9bbf45a5b2510d44d3206a028cf6502757884d49e46d3d2e6356c3a92c4309 in / 
bin/zgrep	5938	304740117a5a0c15c8ea43b7291479207b357b9fc08cc47a5e4a357f5e9a1768	/bin/sh -c #(nop) ADD file:7d9bbf45a5b2510d44d3206a028cf6502757884d49e46d3d2e6356c3a92c4309 in / 
bin/zless	2037	304740117a5a0c15c8ea43b7291479207b357b9fc08cc47a5e4a357f5e9a1768	/bin/sh -c #(nop) ADD file:7d9bbf45a5b2510d44d3206a028cf6502757884d49e46d3d2e6356c3a92c4309 in / 
bin/zmore	1910	304740117a5a0c15c8ea43b7291479207b357b9fc08cc47a5e4a357f5e9a1768	/bin/sh -c #(nop) ADD file:7d9bbf45a5b2510d44d3206a028cf6502757884d49e46d3d2e6356c3a92c4309 in / 
bin/znew	5047	304740117a5a0c15c8ea43b7291479207b357b9fc08cc47a5e4a357f5e9a1768	/bin/sh -c #(nop) ADD file:7d9bbf45a5b2510d44d3206a028cf6502757884d49e46d3d2e6356c3a92c4309 in / 
etc/.pwd.lock	0	304740117a5a0c15c8ea43b7291479207b357b9fc08cc47a5e4a357f5e9a1768	/bin/sh -c #(nop) ADD file:7d9bbf45a5b2510d44d3206a028cf6502757884d49e46d3d2e6356c3a92c4309 in / 
etc/adduser.conf	3028	304740117a5a0c15c8ea43b7291479207b357b9fc08cc47a5e4a357f5e9a1768	/bin/sh -c #(nop) ADD file:7d9bbf45a5b2510d44d3206a028cf6502757884d49e46d3d2e6356c3a92c4309 in / 
etc/alternatives/README	100	304740117a5a0c15c8ea43b7291479207b357b9fc08cc47a5e4a357f5e9a1768	/bin/sh -c #(nop) ADD file:7d9bbf45a5b2510d44d3206a028cf6502757884d49e46d3d2e6356c3a92c4309 in / 
etc/alternatives/awk	0	304740117a5a0c15c8ea43b7291479207b357b9fc08cc47a5e4a357f5e9a1768	/bin/sh -c #(nop) ADD file:7d9bbf45a5b2510d44d3206a028cf6502757884d49e46d3d2e6356c3a92c4309 in / 
etc/alternatives/nawk	0	304740117a5a0c15c8ea43b7291479207b357b9fc08cc47a5e4a357f5e9a1768	/bin/sh -c #(nop) ADD file:7d9bbf45a5b2510d44d3206a028cf6502757884d49e46d3d2e6356c3a92c4309 in / 
